
  2FA at 6x CPU throttle — 1070 frames, 13 states

        t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
        5   179   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      184    59   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      243    13   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      256   182   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
      438  5732   1     ·     ·  pill    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6170    29   1     Y     Y  none    Y  847746    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6199    59   1     Y     Y  none    Y  847746    Y  847746     ·    ·      1      ·      Y     ·  /auth/sign-in
     6258   144   2     ·     ·  none    Y  847746    Y  847746     ·    ·      1      ·      Y     ·  /auth/sign-in
     6402  5799   2     ·     ·  pill    Y  847746    Y  847746     ·    ·      1      ·      Y     ·  /auth/sign-in
    12201    63   2     Y     Y  none    Y  847746    Y  847746     ·    ·      1      ·      Y     ·  /auth/sign-in
    12264    63   2     Y     Y  none    Y  847746    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12327   123   3     ·     ·  none    Y  847746    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12450  5751   3     ·     ·  pill    Y  847746    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
  "Working…" total 273 ms, longest single run 63 ms

