
  2FA at 6x CPU throttle — 1080 frames, 13 states

        t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
        4   122   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      126    35   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      161    11   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      172   181   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
      353  5773   1     ·     ·  pill    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6126    18   1     Y     Y  none    Y  639685    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6144    38   1     Y     Y  none    Y  639685    Y  639685     ·    ·      1      ·      Y     ·  /auth/sign-in
     6182   129   2     ·     ·  none    Y  639685    Y  639685     ·    ·      1      ·      Y     ·  /auth/sign-in
     6311  5829   2     ·     ·  pill    Y  639685    Y  639685     ·    ·      1      ·      Y     ·  /auth/sign-in
    12140    23   2     Y     Y  none    Y  639685    Y  639685     ·    ·      1      ·      Y     ·  /auth/sign-in
    12163    36   2     Y     Y  none    Y  639685    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12199   121   3     ·     ·  none    Y  639685    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12320  5815   3     ·     ·  pill    Y  639685    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
  "Working…" total 150 ms, longest single run 38 ms

